Header	GO
SL1344_RS24205	GO:0008150;GO:0009987
SL1344_RS24210	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS24250	GO:0006950;GO:0006952;GO:0008150;GO:0009605;GO:0009607;GO:0009987;GO:0043207;GO:0044419;GO:0050896;GO:0051707;GO:0098542
SL1344_RS24255	GO:0008150;GO:0008152;GO:0009987;GO:0044237
SL1344_RS24280	GO:0006139;GO:0006259;GO:0006310;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0015074;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS24315	GO:0006139;GO:0006259;GO:0006304;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0032259;GO:0034641;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS24360	GO:0006139;GO:0006259;GO:0006260;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS24435	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS24555	GO:0006629;GO:0006644;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0008610;GO:0008654;GO:0009058;GO:0009987;GO:0019637;GO:0044237;GO:0044238;GO:0044255;GO:0071704;GO:0090407;GO:1901576
SL1344_RS24590	GO:0006139;GO:0006259;GO:0006310;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0015074;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS24635	GO:0006810;GO:0008104;GO:0008150;GO:0008283;GO:0009297;GO:0009306;GO:0009987;GO:0015031;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0032940;GO:0033036;GO:0035592;GO:0043711;GO:0045184;GO:0046903;GO:0051179;GO:0051234;GO:0051641;GO:0070727;GO:0071692;GO:0071702;GO:0071705;GO:0071840;GO:0140352
SL1344_RS24670	GO:0006355;GO:0008150;GO:0009889;GO:0009987;GO:0010468;GO:0010556;GO:0016043;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0043933;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0071840;GO:0080090;GO:2001141
SL1344_RS24675	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS24690	GO:0006082;GO:0006575;GO:0006725;GO:0006760;GO:0006766;GO:0006767;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009110;GO:0009987;GO:0016053;GO:0018130;GO:0019438;GO:0019752;GO:0034641;GO:0042364;GO:0042398;GO:0042558;GO:0043436;GO:0043603;GO:0043604;GO:0043648;GO:0043650;GO:0044237;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046394;GO:0046483;GO:0071704;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
SL1344_RS24730	GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0016310;GO:0019538;GO:0036211;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0071704;GO:1901564
SL1344_RS24735	GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009987;GO:0016310;GO:0042221;GO:0044237;GO:0046677;GO:0050896
SL1344_RS23795	GO:0008150;GO:0008283;GO:0009297;GO:0009987;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0043711;GO:0071840
SL1344_RS23805	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS23850	GO:0006139;GO:0006259;GO:0006260;GO:0006281;GO:0006310;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0008150;GO:0008152;GO:0009987;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0050896;GO:0051716;GO:0071704;GO:0090304;GO:1901360
SL1344_RS23860	GO:0006139;GO:0006259;GO:0006260;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS23890	GO:0006139;GO:0006259;GO:0006304;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0032259;GO:0034641;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS23910	GO:0006139;GO:0006259;GO:0006281;GO:0006355;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0007154;GO:0008150;GO:0008152;GO:0009432;GO:0009605;GO:0009889;GO:0009987;GO:0009991;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0031668;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0050789;GO:0050794;GO:0050896;GO:0051171;GO:0051252;GO:0051716;GO:0060255;GO:0065007;GO:0071496;GO:0071704;GO:0080090;GO:0090304;GO:1901360;GO:2001141
SL1344_RS23915	GO:0006139;GO:0006259;GO:0006281;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0007154;GO:0008150;GO:0008152;GO:0009432;GO:0009605;GO:0009987;GO:0009991;GO:0031668;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0050896;GO:0051716;GO:0071496;GO:0071704;GO:0090304;GO:1901360
SL1344_RS23965	GO:0006139;GO:0006259;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0015074;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS23970	GO:0006139;GO:0006259;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0015074;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS23975	GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009987;GO:0016310;GO:0044237
SL1344_RS23990	GO:0000270;GO:0006022;GO:0006026;GO:0006807;GO:0006950;GO:0006952;GO:0008150;GO:0008152;GO:0009056;GO:0009057;GO:0009605;GO:0009607;GO:0009987;GO:0030203;GO:0043170;GO:0043207;GO:0044419;GO:0050896;GO:0051707;GO:0071704;GO:0098542;GO:1901135;GO:1901136;GO:1901564;GO:1901565;GO:1901575
SL1344_RS24025	GO:0007155;GO:0008150;GO:0009987
SL1344_RS24040	GO:0006139;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0016070;GO:0018130;GO:0019438;GO:0032774;GO:0034641;GO:0034654;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0046483;GO:0071704;GO:0090304;GO:1901360;GO:1901362;GO:1901576
SL1344_RS24050	GO:0006139;GO:0006259;GO:0006310;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0015074;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS24065	GO:0008150;GO:0009987
SL1344_RS24100	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS24105	GO:0007155;GO:0008150;GO:0009987
SL1344_RS24110	GO:0008150;GO:0008283;GO:0009297;GO:0009987;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0043711;GO:0071840
SL1344_RS24115	GO:0006457;GO:0008150;GO:0009987;GO:0016043;GO:0045229;GO:0061077;GO:0071554;GO:0071555;GO:0071840
SL1344_RS24130	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
